date,home_team,away_team,home_score,away_score,tournament,neutral,country
2007-04-13,Senegal,Ivory Coast,2,1,Friendly,False,Senegal
2007-04-17,Switzerland,Netherlands,0,2,World Cup qualification,False,Switzerland
2007-04-21,Ivory Coast,Nigeria,2,3,Friendly,False,Ivory Coast
2007-04-25,Algeria,Tunisia,0,2,World Cup qualification,True,Neutral
2007-04-29,Sweden,France,3,2,FIFA World Cup,False,Sweden
2007-05-03,Qatar,Panama,3,0,Nations League,False,Qatar
2007-05-06,Netherlands,Brazil,0,0,Nations League,False,Netherlands
2007-05-10,Chile,Turkey,0,2,World Cup qualification,False,Chile
2007-05-14,France,Germany,2,1,World Cup qualification,True,Neutral
2007-05-18,England,Egypt,5,1,World Cup qualification,True,Neutral
2007-05-22,Senegal,Mexico,2,1,Copa America,True,Neutral
2007-05-26,Algeria,England,1,2,Nations League,False,Algeria
2007-05-30,Italy,Wales,2,1,Friendly,False,Italy
2007-06-03,Tunisia,Panama,3,1,Copa America,False,Tunisia
2007-06-06,Argentina,Turkey,2,1,Friendly,True,Neutral
2007-06-10,Senegal,Poland,3,0,FIFA World Cup,True,Neutral
2007-06-14,Switzerland,Austria,0,2,Friendly,False,Switzerland
2007-06-18,Ivory Coast,Turkey,0,1,UEFA Euro,False,Ivory Coast
2007-06-22,Italy,Wales,2,1,World Cup qualification,True,Neutral
2007-06-26,USA,Sweden,2,1,World Cup qualification,False,USA
2007-06-30,Cameroon,Peru,2,1,Friendly,False,Cameroon
2007-07-03,Japan,Denmark,2,5,Friendly,False,Japan
2007-07-07,Ivory Coast,Portugal,3,1,Friendly,True,Neutral
2007-07-11,Costa Rica,Australia,1,1,UEFA Euro,False,Costa Rica
2007-07-15,USA,Poland,2,3,Friendly,False,USA
2007-07-19,Saudi Arabia,Qatar,1,1,UEFA Euro,False,Saudi Arabia
2007-07-23,Turkey,South Korea,2,2,Friendly,False,Turkey
2007-07-27,Wales,Algeria,3,3,Friendly,False,Wales
2007-07-30,Colombia,Australia,1,0,Copa America,False,Colombia
2007-08-03,Colombia,Belgium,0,2,World Cup qualification,False,Colombia
2007-08-07,USA,Japan,0,1,Friendly,False,USA
2007-08-11,Sweden,Portugal,2,2,FIFA World Cup,False,Sweden
2007-08-15,Tunisia,Ivory Coast,2,1,Friendly,False,Tunisia
2007-08-19,Switzerland,Tunisia,4,1,World Cup qualification,False,Switzerland
2007-08-23,Chile,Portugal,4,2,UEFA Euro,False,Chile
2007-08-26,Scotland,Croatia,0,1,Friendly,True,Neutral
2007-08-30,Ecuador,South Korea,1,0,Nations League,False,Ecuador
2007-09-03,Netherlands,Spain,2,0,Friendly,False,Netherlands
2007-09-07,Uruguay,Uruguay B,1,1,Friendly,True,Neutral
2007-09-11,Nigeria,Scotland,3,0,Friendly,True,Neutral
2007-09-15,Netherlands,Argentina,2,1,FIFA World Cup,False,Netherlands
2007-09-19,Wales,England,1,3,FIFA World Cup,False,Wales
2007-09-23,Serbia,Japan,2,2,Nations League,True,Neutral
2007-09-26,Iran,Mexico,0,2,World Cup qualification,True,Neutral
2007-09-30,Portugal,Egypt,2,0,FIFA World Cup,True,Neutral
2007-10-04,Brazil,Qatar,5,0,World Cup qualification,False,Brazil
2007-10-08,Ivory Coast,Nigeria,2,0,Friendly,False,Ivory Coast
2007-10-12,Spain,Sweden,2,1,World Cup qualification,True,Neutral
2007-10-16,Serbia,Saudi Arabia,1,0,Friendly,False,Serbia
2007-10-20,Costa Rica,Qatar,0,2,Friendly,False,Costa Rica
2007-10-23,Belgium,Argentina,1,1,Friendly,True,Neutral
2007-10-27,Netherlands,Argentina,0,1,Friendly,False,Netherlands
2007-10-31,Saudi Arabia,Ecuador,0,3,Friendly,True,Neutral
2007-11-04,Germany,Iran,3,1,Friendly,True,Neutral
2007-11-08,Algeria,Denmark,0,0,UEFA Euro,False,Algeria
2007-11-12,Italy,Turkey,0,1,Copa America,False,Italy
2007-11-16,Qatar,Morocco,0,0,Friendly,False,Qatar
2007-11-19,Japan,Denmark,1,2,World Cup qualification,True,Neutral
2007-11-23,South Korea,Poland,0,1,Copa America,False,South Korea
2007-11-27,Japan,Netherlands,1,2,UEFA Euro,True,Neutral
2007-12-01,Norway,Switzerland,0,0,World Cup qualification,True,Neutral
2007-12-05,Ecuador,Japan,2,3,Friendly,True,Neutral
2007-12-09,Australia,Japan,1,1,Friendly,False,Australia
2007-12-13,Croatia,Ukraine,0,0,UEFA Euro,True,Neutral
2007-12-16,Belgium,Uruguay B,1,1,UEFA Euro,False,Belgium
2007-12-20,Spain,Portugal,0,1,Friendly,False,Spain
2007-12-24,Peru,Spain,2,2,Friendly,False,Peru
2007-12-28,Ivory Coast,England,1,3,Friendly,True,Neutral
2008-01-01,Ecuador,Ukraine,0,1,Friendly,False,Ecuador
2008-01-05,Panama,Portugal,2,4,Friendly,True,Neutral
2008-01-09,Austria,Costa Rica,0,1,World Cup qualification,False,Austria
2008-01-12,Croatia,Sweden,0,0,UEFA Euro,False,Croatia
2008-01-16,Uruguay B,Ecuador,0,1,Friendly,False,Uruguay B
2008-01-20,Spain,Nigeria,3,1,UEFA Euro,False,Spain
2008-01-24,Switzerland,Ecuador,2,1,Friendly,False,Switzerland
2008-01-28,Senegal,Uruguay B,3,0,World Cup qualification,False,Senegal
2008-02-01,Saudi Arabia,Peru,0,0,World Cup qualification,False,Saudi Arabia
2008-02-05,Costa Rica,Algeria,1,3,Nations League,True,Neutral
2008-02-09,Norway,Wales,1,0,Friendly,False,Norway
2008-02-12,Senegal,Uruguay B,0,2,Friendly,False,Senegal
2008-02-16,USA,England,1,3,Friendly,False,USA
2008-02-20,Argentina,Mexico,2,1,Friendly,True,Neutral
2008-02-24,Norway,Colombia,1,1,Copa America,False,Norway
2008-02-28,Wales,Mexico,3,1,FIFA World Cup,False,Wales
2008-03-03,Switzerland,Wales,0,1,World Cup qualification,False,Switzerland
2008-03-07,Brazil,Poland,2,0,UEFA Euro,True,Neutral
2008-03-10,Denmark,Austria,1,0,Friendly,True,Neutral
2008-03-14,Denmark,Nigeria,2,1,Friendly,True,Neutral
2008-03-18,Qatar,Norway,0,0,World Cup qualification,False,Qatar
2008-03-22,Croatia,Italy,0,1,Friendly,True,Neutral
2008-03-26,Brazil,Tunisia,3,0,World Cup qualification,True,Neutral
2008-03-30,Morocco,Nigeria,0,1,Friendly,False,Morocco
2008-04-03,Switzerland,Belgium,4,1,Friendly,False,Switzerland
2008-04-06,Denmark,France,2,1,Nations League,False,Denmark
2008-04-10,Belgium,Wales,1,1,Friendly,False,Belgium
2008-04-14,Portugal,Japan,1,1,World Cup qualification,False,Portugal
2008-04-18,Denmark,Australia,3,0,Friendly,False,Denmark
2008-04-22,England,Australia,2,0,Friendly,True,Neutral
2008-04-26,Ghana,Wales,0,1,FIFA World Cup,False,Ghana
2008-04-30,Algeria,Norway,1,0,World Cup qualification,False,Algeria
2008-05-03,Australia,Tunisia,2,1,World Cup qualification,False,Australia
2008-05-07,Spain,Canada,2,2,Friendly,False,Spain
2008-05-11,Argentina,Costa Rica,2,1,Friendly,False,Argentina
2008-05-15,Mexico,Australia,3,2,World Cup qualification,False,Mexico
2008-05-19,Serbia,Denmark,3,1,Friendly,False,Serbia
2008-05-23,Japan,Qatar,0,2,Nations League,False,Japan
2008-05-27,Costa Rica,Spain,1,3,Friendly,True,Neutral
2008-05-30,Denmark,Mexico,3,0,UEFA Euro,False,Denmark
2008-06-03,Morocco,Mexico,0,1,Friendly,True,Neutral
2008-06-07,Uruguay,Scotland,0,1,World Cup qualification,True,Neutral
2008-06-11,Ecuador,Portugal,1,1,World Cup qualification,True,Neutral
2008-06-15,Costa Rica,Wales,1,2,FIFA World Cup,True,Neutral
2008-06-19,Netherlands,Germany,1,0,FIFA World Cup,True,Neutral
2008-06-23,Ukraine,Croatia,1,3,FIFA World Cup,False,Ukraine
2008-06-27,Tunisia,Uruguay,0,2,Nations League,False,Tunisia
2008-06-30,Italy,Poland,4,0,Friendly,False,Italy
2008-07-04,Denmark,USA,2,2,Friendly,False,Denmark
2008-07-08,Australia,Norway,0,1,Friendly,False,Australia
2008-07-12,Italy,France,1,0,Friendly,True,Neutral
2008-07-16,Ukraine,Japan,3,0,Friendly,False,Ukraine
2008-07-20,Costa Rica,Mexico,3,3,Friendly,True,Neutral
2008-07-24,Sweden,Serbia,1,1,Copa America,True,Neutral
2008-07-27,Switzerland,Colombia,3,0,Friendly,False,Switzerland
2008-07-31,Norway,France,0,2,Nations League,False,Norway
2008-08-04,Ivory Coast,Wales,1,1,Friendly,True,Neutral
2008-08-08,Portugal,Serbia,2,0,Friendly,False,Portugal
2008-08-12,Netherlands,Argentina,0,2,Nations League,True,Neutral
2008-08-16,Turkey,Ghana,1,0,Friendly,False,Turkey
2008-08-20,Switzerland,Morocco,1,2,World Cup qualification,True,Neutral
2008-08-23,Turkey,Germany,1,1,Copa America,False,Turkey
2008-08-27,USA,Wales,2,2,Friendly,False,USA
2008-08-31,Uruguay,Chile,1,3,Friendly,False,Uruguay
2008-09-04,Ukraine,Costa Rica,1,0,Friendly,False,Ukraine
2008-09-08,Ecuador,Norway,0,0,Nations League,False,Ecuador
2008-09-12,Morocco,Belgium,1,0,Copa America,True,Neutral
2008-09-16,Norway,Ghana,2,0,UEFA Euro,False,Norway
2008-09-19,Spain,Argentina,2,1,Friendly,False,Spain
2008-09-23,Ecuador,Mexico,0,3,Friendly,False,Ecuador
2008-09-27,Japan,Mexico,1,0,Friendly,False,Japan
2008-10-01,Spain,Brazil,0,1,UEFA Euro,False,Spain
2008-10-05,Japan,Iran,1,0,World Cup qualification,True,Neutral
2008-10-09,Sweden,Spain,0,4,Friendly,True,Neutral
2008-10-13,Norway,Ukraine,2,1,Nations League,True,Neutral
2008-10-16,Turkey,Croatia,2,0,Friendly,False,Turkey
2008-10-20,Portugal,Ukraine,4,1,FIFA World Cup,False,Portugal
2008-10-24,Italy,Iran,0,1,Nations League,False,Italy
2008-10-28,Panama,Austria,3,3,Copa America,False,Panama
2008-11-01,Serbia,Qatar,6,0,Copa America,False,Serbia
2008-11-05,Italy,Qatar,3,2,FIFA World Cup,False,Italy
2008-11-09,Switzerland,Croatia,3,3,World Cup qualification,False,Switzerland
2008-11-13,Colombia,Spain,1,1,Copa America,False,Colombia
2008-11-16,Egypt,Germany,0,0,World Cup qualification,False,Egypt
2008-11-20,Tunisia,Chile,0,3,World Cup qualification,True,Neutral
2008-11-24,Ukraine,USA,1,3,Friendly,True,Neutral
2008-11-28,Norway,Qatar,1,0,Friendly,False,Norway
2008-12-02,Turkey,Denmark,0,1,Friendly,True,Neutral
2008-12-06,Japan,Australia,2,0,World Cup qualification,False,Japan
2008-12-10,Serbia,Chile,2,0,Friendly,False,Serbia
2008-12-13,Cameroon,Netherlands,0,0,FIFA World Cup,False,Cameroon
2008-12-17,Iran,Argentina,1,3,Friendly,False,Iran
2008-12-21,Australia,Qatar,3,1,Friendly,False,Australia
2008-12-25,Qatar,Belgium,0,2,Friendly,False,Qatar
2008-12-29,Denmark,Canada,0,1,Copa America,False,Denmark
2009-01-02,Spain,Panama,3,1,Copa America,True,Neutral
2009-01-06,Ukraine,Uruguay B,2,0,Copa America,True,Neutral
2009-01-09,Serbia,Scotland,1,0,Friendly,False,Serbia
2009-01-13,Portugal,Germany,0,1,Friendly,False,Portugal
2009-01-17,Italy,Chile,2,1,World Cup qualification,True,Neutral
2009-01-21,Nigeria,Wales,1,2,World Cup qualification,False,Nigeria
2009-01-25,Senegal,Costa Rica,4,0,Friendly,True,Neutral
2009-01-29,Chile,Tunisia,4,1,World Cup qualification,False,Chile
2009-02-02,Belgium,South Korea,1,2,World Cup qualification,True,Neutral
2009-02-05,Qatar,Egypt,0,1,Friendly,False,Qatar
2009-02-09,Netherlands,Iran,4,0,Friendly,False,Netherlands
2009-02-13,Egypt,Cameroon,2,1,Copa America,True,Neutral
2009-02-17,Belgium,Denmark,4,4,Nations League,False,Belgium
2009-02-21,Morocco,Panama,4,0,Friendly,False,Morocco
2009-02-25,Australia,Chile,0,0,World Cup qualification,False,Australia
2009-03-01,Switzerland,Spain,1,3,Nations League,True,Neutral
2009-03-04,Canada,Tunisia,2,2,Friendly,False,Canada
2009-03-08,Panama,Scotland,2,2,World Cup qualification,False,Panama
2009-03-12,Tunisia,Turkey,0,0,Friendly,False,Tunisia
2009-03-16,South Korea,Wales,1,0,Friendly,True,Neutral
2009-03-20,Belgium,Costa Rica,1,1,World Cup qualification,True,Neutral
2009-03-24,Turkey,Tunisia,0,0,Nations League,False,Turkey
2009-03-28,Netherlands,Croatia,4,1,Copa America,True,Neutral
2009-04-01,Denmark,Tunisia,1,2,Friendly,False,Denmark
2009-04-04,Saudi Arabia,Wales,0,1,Nations League,False,Saudi Arabia
2009-04-08,Denmark,Iran,3,1,World Cup qualification,True,Neutral
2009-04-12,England,Spain,5,1,Friendly,False,England
2009-04-16,Belgium,Morocco,3,0,Friendly,False,Belgium
2009-04-20,Cameroon,Italy,1,4,UEFA Euro,False,Cameroon
2009-04-24,Uruguay B,Qatar,1,0,Friendly,True,Neutral
2009-04-28,Algeria,Egypt,1,2,Copa America,False,Algeria
2009-05-01,Iran,Norway,1,3,World Cup qualification,True,Neutral
2009-05-05,Ghana,Sweden,1,2,UEFA Euro,False,Ghana
2009-05-09,Germany,Ecuador,0,0,Copa America,True,Neutral
2009-05-13,Belgium,France,0,1,UEFA Euro,False,Belgium
2009-05-17,Colombia,Canada,2,1,UEFA Euro,False,Colombia
2009-05-21,Canada,Saudi Arabia,2,2,Friendly,False,Canada
2009-05-25,Egypt,Uruguay,4,3,Friendly,False,Egypt
2009-05-28,Serbia,Ivory Coast,3,1,World Cup qualification,False,Serbia
2009-06-01,Sweden,Switzerland,0,2,World Cup qualification,False,Sweden
2009-06-05,Nigeria,Brazil,0,4,Friendly,False,Nigeria
2009-06-09,Serbia,Austria,1,1,World Cup qualification,True,Neutral
2009-06-13,Serbia,Austria,0,1,World Cup qualification,False,Serbia
2009-06-17,Portugal,Sweden,3,2,Friendly,True,Neutral
2009-06-21,Turkey,Netherlands,3,1,Friendly,False,Turkey
2009-06-24,Peru,Costa Rica,2,4,Friendly,True,Neutral
2009-06-28,Scotland,Uruguay B,1,1,Friendly,True,Neutral
2009-07-02,Panama,Argentina,0,2,World Cup qualification,False,Panama
2009-07-06,Serbia,Turkey,1,0,Friendly,False,Serbia
2009-07-10,South Korea,Canada,0,0,World Cup qualification,False,South Korea
2009-07-14,USA,South Korea,1,3,World Cup qualification,True,Neutral
2009-07-18,Canada,Cameroon,3,2,World Cup qualification,False,Canada
2009-07-22,Canada,Croatia,1,2,Friendly,False,Canada
2009-07-25,Belgium,Senegal,1,0,Friendly,True,Neutral
2009-07-29,Japan,Tunisia,2,0,Friendly,False,Japan
2009-08-02,Panama,Algeria,0,3,Friendly,True,Neutral
2009-08-06,Saudi Arabia,Switzerland,0,1,Friendly,True,Neutral
2009-08-10,Argentina,Norway,4,0,Friendly,False,Argentina
2009-08-14,Uruguay,Belgium,3,0,Friendly,False,Uruguay
2009-08-18,France,Egypt,4,1,Friendly,True,Neutral
2009-08-21,Croatia,Uruguay,0,0,Nations League,False,Croatia
2009-08-25,Croatia,Japan,0,1,World Cup qualification,False,Croatia
2009-08-29,Italy,Panama,0,0,World Cup qualification,True,Neutral
2009-09-02,Denmark,Australia,2,0,Nations League,False,Denmark
2009-09-06,Turkey,Uruguay,1,0,World Cup qualification,False,Turkey
2009-09-10,Belgium,Australia,1,0,Friendly,False,Belgium
2009-09-14,Scotland,Japan,0,3,World Cup qualification,False,Scotland
2009-09-17,Portugal,Tunisia,5,2,World Cup qualification,True,Neutral
2009-09-21,Costa Rica,Ecuador,1,3,Nations League,False,Costa Rica
2009-09-25,Portugal,Ghana,4,0,Friendly,True,Neutral
2009-09-29,Algeria,Serbia,2,0,Friendly,True,Neutral
2009-10-03,Algeria,Serbia,0,2,Friendly,False,Algeria
2009-10-07,Argentina,Nigeria,7,1,World Cup qualification,False,Argentina
2009-10-11,Serbia,Belgium,1,3,Friendly,False,Serbia
2009-10-14,Senegal,Cameroon,5,1,Nations League,False,Senegal
2009-10-18,Turkey,Algeria,2,0,Friendly,False,Turkey
2009-10-22,Belgium,Panama,3,1,World Cup qualification,False,Belgium
2009-10-26,Austria,Costa Rica,1,0,Friendly,False,Austria
2009-10-30,Austria,Nigeria,3,1,Friendly,False,Austria
2009-11-03,Chile,Brazil,1,2,Friendly,True,Neutral
2009-11-07,Austria,Belgium,2,1,UEFA Euro,True,Neutral
2009-11-10,Sweden,Norway,0,0,Copa America,True,Neutral
2009-11-14,Cameroon,Japan,2,1,FIFA World Cup,False,Cameroon
2009-11-18,Argentina,Brazil,2,1,Friendly,True,Neutral
2009-11-22,USA,Scotland,3,0,Friendly,False,USA
2009-11-26,Uruguay B,Ghana,1,3,Friendly,False,Uruguay B
2009-11-30,Uruguay B,USA,0,1,World Cup qualification,False,Uruguay B
2009-12-04,Ecuador,Peru,1,1,FIFA World Cup,False,Ecuador
2009-12-08,USA,Cameroon,5,1,World Cup qualification,False,USA
2009-12-11,France,Canada,4,1,Copa America,False,France
2009-12-15,Serbia,Canada,2,0,Nations League,False,Serbia
2009-12-19,Peru,Germany,3,2,Friendly,False,Peru
2009-12-23,Australia,Colombia,0,2,UEFA Euro,False,Australia
2009-12-27,Belgium,Canada,6,1,World Cup qualification,False,Belgium
2009-12-31,Iran,Egypt,0,2,Friendly,True,Neutral
2010-01-04,USA,Algeria,0,0,Friendly,False,USA
2010-01-07,Switzerland,Mexico,2,2,Friendly,True,Neutral
2010-01-11,Denmark,Senegal,4,0,World Cup qualification,False,Denmark
2010-01-15,Scotland,Iran,0,3,Friendly,True,Neutral
2010-01-19,Sweden,Denmark,0,1,UEFA Euro,True,Neutral
2010-01-23,Peru,USA,0,2,Friendly,False,Peru
2010-01-27,Colombia,Austria,1,1,Friendly,False,Colombia
2010-01-31,Italy,Serbia,2,0,World Cup qualification,True,Neutral
2010-02-03,Wales,Algeria,0,1,World Cup qualification,True,Neutral
2010-02-07,Morocco,Mexico,0,1,World Cup qualification,False,Morocco
2010-02-11,Switzerland,England,0,0,Friendly,False,Switzerland
2010-02-15,Peru,Iran,0,0,World Cup qualification,False,Peru
2010-02-19,Ivory Coast,USA,1,1,Nations League,True,Neutral
2010-02-23,Croatia,Senegal,2,1,Friendly,True,Neutral
2010-02-27,Algeria,Portugal,1,2,Friendly,False,Algeria
2010-03-02,Mexico,USA,1,0,UEFA Euro,True,Neutral
2010-03-06,Egypt,Italy,1,0,Friendly,False,Egypt
2010-03-10,France,Uruguay B,1,1,Friendly,True,Neutral
2010-03-14,Croatia,Uruguay B,2,0,World Cup qualification,False,Croatia
2010-03-18,Senegal,Argentina,1,2,UEFA Euro,True,Neutral
2010-03-22,Morocco,Saudi Arabia,4,2,Friendly,False,Morocco
2010-03-26,Mexico,Sweden,3,2,FIFA World Cup,False,Mexico
2010-03-29,Poland,Ecuador,0,4,Friendly,False,Poland
2010-04-02,Saudi Arabia,Morocco,3,6,Friendly,False,Saudi Arabia
2010-04-06,Australia,Poland,0,1,World Cup qualification,False,Australia
2010-04-10,Ecuador,Turkey,3,2,Nations League,True,Neutral
2010-04-14,Ghana,Japan,2,0,Friendly,False,Ghana
2010-04-18,Wales,Colombia,2,0,Nations League,False,Wales
2010-04-22,Canada,Tunisia,0,2,Friendly,False,Canada
2010-04-26,Portugal,Uruguay B,2,1,Friendly,True,Neutral
2010-04-29,Tunisia,Switzerland,1,3,FIFA World Cup,True,Neutral
2010-05-03,Uruguay B,Ecuador,1,1,World Cup qualification,True,Neutral
2010-05-07,Norway,Canada,0,0,World Cup qualification,False,Norway
2010-05-11,Morocco,Ghana,2,0,Copa America,False,Morocco
2010-05-15,Sweden,Chile,2,1,Friendly,False,Sweden
2010-05-19,Spain,Scotland,3,2,World Cup qualification,True,Neutral
2010-05-23,Peru,Mexico,1,3,World Cup qualification,False,Peru
2010-05-26,Chile,Austria,0,3,UEFA Euro,True,Neutral
2010-05-30,Sweden,Canada,2,0,Friendly,False,Sweden
2010-06-03,Ghana,Croatia,2,1,Friendly,False,Ghana
2010-06-07,Portugal,Turkey,1,0,World Cup qualification,False,Portugal
2010-06-11,Saudi Arabia,Belgium,2,2,FIFA World Cup,False,Saudi Arabia
2010-06-15,Nigeria,Tunisia,0,2,Friendly,True,Neutral
2010-06-19,Ukraine,Egypt,3,0,Friendly,False,Ukraine
2010-06-22,Germany,Ghana,3,0,Friendly,False,Germany
2010-06-26,Algeria,Australia,3,2,FIFA World Cup,False,Algeria
2010-06-30,South Korea,USA,1,1,Copa America,False,South Korea
2010-07-04,Italy,Saudi Arabia,1,1,World Cup qualification,True,Neutral
2010-07-08,Germany,Netherlands,0,2,UEFA Euro,False,Germany
2010-07-12,Egypt,Uruguay B,0,1,Friendly,True,Neutral
2010-07-16,Poland,Spain,1,2,World Cup qualification,True,Neutral
2010-07-19,Netherlands,Saudi Arabia,3,0,FIFA World Cup,True,Neutral
2010-07-23,Ivory Coast,Germany,0,5,Friendly,True,Neutral
2010-07-27,Peru,Spain,0,1,World Cup qualification,False,Peru
2010-07-31,France,Scotland,4,2,Friendly,False,France
2010-08-04,England,Brazil,0,0,Friendly,True,Neutral
2010-08-08,Senegal,Panama,3,1,Friendly,False,Senegal
2010-08-12,Serbia,Egypt,2,2,World Cup qualification,False,Serbia
2010-08-15,Iran,Egypt,1,0,Friendly,False,Iran
2010-08-19,Switzerland,Saudi Arabia,1,0,Copa America,False,Switzerland
2010-08-23,Canada,Iran,0,3,Friendly,True,Neutral
2010-08-27,Egypt,Portugal,3,2,Friendly,True,Neutral
2010-08-31,Wales,Ivory Coast,2,1,Friendly,True,Neutral
2010-09-04,Scotland,Uruguay,4,1,World Cup qualification,False,Scotland
2010-09-08,Ecuador,Norway,4,4,World Cup qualification,False,Ecuador
2010-09-12,Tunisia,Morocco,5,1,World Cup qualification,False,Tunisia
2010-09-15,Saudi Arabia,Switzerland,2,2,UEFA Euro,False,Saudi Arabia
2010-09-19,South Korea,Uruguay,0,1,World Cup qualification,True,Neutral
2010-09-23,Argentina,Cameroon,3,1,Friendly,False,Argentina
2010-09-27,Ecuador,Saudi Arabia,2,0,Nations League,True,Neutral
2010-10-01,Ecuador,Iran,3,1,Friendly,False,Ecuador
2010-10-05,Argentina,Ivory Coast,2,0,Nations League,False,Argentina
2010-10-09,Canada,Ukraine,1,1,World Cup qualification,True,Neutral
2010-10-12,Italy,Algeria,2,0,Friendly,True,Neutral
2010-10-16,Croatia,Uruguay B,4,0,Friendly,False,Croatia
2010-10-20,Costa Rica,Egypt,0,3,Friendly,False,Costa Rica
2010-10-24,Switzerland,Algeria,2,1,Friendly,True,Neutral
2010-10-28,Nigeria,Denmark,1,2,Friendly,False,Nigeria
2010-11-01,Morocco,Scotland,1,0,World Cup qualification,False,Morocco
2010-11-05,Egypt,Ghana,0,2,Friendly,False,Egypt
2010-11-08,USA,Canada,4,2,World Cup qualification,False,USA
2010-11-12,Iran,Australia,0,2,Friendly,False,Iran
2010-11-16,Poland,Belgium,0,1,Copa America,True,Neutral
2010-11-20,Argentina,Colombia,3,1,Friendly,True,Neutral
2010-11-24,Cameroon,France,0,4,World Cup qualification,True,Neutral
2010-11-28,France,Ecuador,4,1,Friendly,False,France
2010-12-02,Canada,Turkey,1,2,FIFA World Cup,False,Canada
2010-12-05,Iran,Canada,2,1,Copa America,True,Neutral
2010-12-09,South Korea,Brazil,0,2,Friendly,False,South Korea
2010-12-13,Argentina,Senegal,2,0,Friendly,True,Neutral
2010-12-17,Netherlands,France,1,2,Friendly,False,Netherlands
2010-12-21,Belgium,Panama,1,0,Friendly,True,Neutral
2010-12-25,Canada,Poland,1,2,FIFA World Cup,True,Neutral
2010-12-29,Croatia,Italy,1,2,Friendly,False,Croatia
2011-01-02,Ecuador,Cameroon,4,0,World Cup qualification,False,Ecuador
2011-01-05,Portugal,Morocco,2,2,World Cup qualification,True,Neutral
2011-01-09,Italy,Morocco,2,1,World Cup qualification,False,Italy
2011-01-13,Poland,Algeria,2,2,Nations League,False,Poland
2011-01-17,Algeria,South Korea,0,2,Friendly,True,Neutral
2011-01-21,England,Netherlands,1,2,Friendly,False,England
2011-01-25,France,Australia,2,0,Nations League,False,France
2011-01-29,Wales,Germany,2,2,Friendly,True,Neutral
2011-02-01,Ecuador,Brazil,0,3,World Cup qualification,False,Ecuador
2011-02-05,Egypt,Senegal,1,3,Friendly,False,Egypt
2011-02-09,Wales,Sweden,4,0,Friendly,True,Neutral
2011-02-13,Argentina,Panama,5,2,Nations League,True,Neutral
2011-02-17,Tunisia,Egypt,0,1,UEFA Euro,True,Neutral
2011-02-21,Netherlands,England,2,0,Friendly,True,Neutral
2011-02-25,Mexico,Ecuador,2,0,Friendly,False,Mexico
2011-02-28,Algeria,Panama,2,1,Friendly,False,Algeria
2011-03-04,Wales,Cameroon,3,2,Nations League,False,Wales
2011-03-08,Qatar,Wales,0,1,World Cup qualification,False,Qatar
2011-03-12,Morocco,Senegal,3,1,Nations League,False,Morocco
2011-03-16,Denmark,Wales,0,1,FIFA World Cup,False,Denmark
2011-03-20,Italy,France,2,0,Copa America,False,Italy
2011-03-24,South Korea,Scotland,2,1,World Cup qualification,False,South Korea
2011-03-27,Mexico,Japan,1,3,World Cup qualification,False,Mexico
2011-03-31,Switzerland,Australia,2,0,World Cup qualification,False,Switzerland
2011-04-04,Iran,Japan,4,2,UEFA Euro,True,Neutral
2011-04-08,Austria,Denmark,0,1,World Cup qualification,False,Austria
2011-04-12,Germany,Mexico,0,1,World Cup qualification,False,Germany
2011-04-16,Egypt,Colombia,0,5,UEFA Euro,False,Egypt
2011-04-20,USA,Nigeria,3,4,Friendly,False,USA
2011-04-23,Argentina,Chile,3,0,World Cup qualification,False,Argentina
2011-04-27,Iran,Chile,1,1,UEFA Euro,True,Neutral
2011-05-01,England,USA,5,0,Friendly,True,Neutral
2011-05-05,Ecuador,Ivory Coast,2,3,UEFA Euro,True,Neutral
2011-05-09,Scotland,Austria,2,3,Friendly,False,Scotland
2011-05-13,France,Croatia,3,1,Copa America,False,France
2011-05-17,Wales,Norway,0,2,Nations League,True,Neutral
2011-05-21,Sweden,Tunisia,4,1,Nations League,False,Sweden
2011-05-24,Morocco,France,1,4,World Cup qualification,True,Neutral
2011-05-28,Morocco,Chile,1,2,Nations League,False,Morocco
2011-06-01,Germany,Uruguay,4,1,World Cup qualification,False,Germany
2011-06-05,Australia,England,0,4,Copa America,False,Australia
2011-06-09,Denmark,Serbia,4,1,Friendly,False,Denmark
2011-06-13,Iran,Norway,0,2,FIFA World Cup,False,Iran
2011-06-17,Poland,Italy,1,6,Copa America,True,Neutral
2011-06-20,Belgium,Costa Rica,3,0,World Cup qualification,False,Belgium
2011-06-24,Spain,Belgium,1,0,World Cup qualification,False,Spain
2011-06-28,Uruguay,South Korea,0,1,Nations League,True,Neutral
2011-07-02,Poland,Italy,1,2,Friendly,False,Poland
2011-07-06,Cameroon,Uruguay B,2,2,Friendly,False,Cameroon
2011-07-10,Panama,Egypt,0,2,World Cup qualification,False,Panama
2011-07-14,Mexico,Wales,2,1,UEFA Euro,False,Mexico
2011-07-17,England,Uruguay,3,2,Copa America,True,Neutral
2011-07-21,Wales,USA,2,0,World Cup qualification,False,Wales
2011-07-25,Serbia,Poland,0,1,Copa America,False,Serbia
2011-07-29,Belgium,Ivory Coast,3,0,World Cup qualification,False,Belgium
2011-08-02,Germany,Morocco,3,0,World Cup qualification,True,Neutral
2011-08-06,Panama,Egypt,1,2,UEFA Euro,False,Panama
2011-08-10,Serbia,Uruguay B,2,4,Nations League,False,Serbia
2011-08-13,Panama,France,1,2,World Cup qualification,True,Neutral
