as_of_date,team,average_age,total_caps,coach_tenure_days,fifa_confederation,source_url
2009-12-23,Chile,26.4,564,664,CONMEBOL,synthetic://sample-data
2010-06-23,Chile,27.78,517,847,CONMEBOL,synthetic://sample-data
2010-12-22,Chile,27.19,511,320,CONMEBOL,synthetic://sample-data
2011-06-22,Chile,24.51,548,317,CONMEBOL,synthetic://sample-data
2011-12-21,Chile,29.53,548,365,CONMEBOL,synthetic://sample-data
2012-06-20,Chile,28.74,570,868,CONMEBOL,synthetic://sample-data
2012-12-19,Chile,28.94,537,737,CONMEBOL,synthetic://sample-data
2013-06-19,Chile,26.77,559,1344,CONMEBOL,synthetic://sample-data
2013-12-18,Chile,21.83,518,447,CONMEBOL,synthetic://sample-data
2014-06-18,Chile,25.2,564,214,CONMEBOL,synthetic://sample-data
2014-12-17,Chile,24.75,464,199,CONMEBOL,synthetic://sample-data
2015-06-17,Chile,23.64,582,525,CONMEBOL,synthetic://sample-data
2015-12-16,Chile,27.04,461,1069,CONMEBOL,synthetic://sample-data
2016-06-15,Chile,25.9,536,657,CONMEBOL,synthetic://sample-data
2016-12-14,Chile,23.79,513,853,CONMEBOL,synthetic://sample-data
2017-06-14,Chile,27.47,504,814,CONMEBOL,synthetic://sample-data
2017-12-13,Chile,24.17,509,409,CONMEBOL,synthetic://sample-data
2018-06-13,Chile,24.5,441,480,CONMEBOL,synthetic://sample-data
2018-12-12,Chile,24.08,460,847,CONMEBOL,synthetic://sample-data
2019-06-12,Chile,27.99,553,298,CONMEBOL,synthetic://sample-data
2019-12-11,Chile,25.74,547,304,CONMEBOL,synthetic://sample-data
2020-06-10,Chile,28.25,477,625,CONMEBOL,synthetic://sample-data
2020-12-09,Chile,23.33,491,328,CONMEBOL,synthetic://sample-data
2021-06-09,Chile,24.06,548,478,CONMEBOL,synthetic://sample-data
2021-12-08,Chile,27.52,455,944,CONMEBOL,synthetic://sample-data
2022-06-08,Chile,27.28,550,1188,CONMEBOL,synthetic://sample-data
2022-12-07,Chile,25.78,495,629,CONMEBOL,synthetic://sample-data
2023-06-07,Chile,26.1,509,824,CONMEBOL,synthetic://sample-data
2023-12-06,Chile,26.5,522,1092,CONMEBOL,synthetic://sample-data
2024-06-05,Chile,24.94,486,918,CONMEBOL,synthetic://sample-data
2024-12-04,Chile,25.55,577,320,CONMEBOL,synthetic://sample-data
2025-06-04,Chile,26.73,503,285,CONMEBOL,synthetic://sample-data
2025-12-03,Chile,27.54,466,493,CONMEBOL,synthetic://sample-data
2003-01-01,Colombia,26.04,675,428,UEFA,synthetic://sample-data
2003-07-02,Colombia,26.27,671,591,UEFA,synthetic://sample-data
2003-12-31,Colombia,23.7,687,345,UEFA,synthetic://sample-data
2004-06-30,Colombia,24.81,725,770,UEFA,synthetic://sample-data
2004-12-29,Colombia,23.49,738,837,UEFA,synthetic://sample-data
2005-06-29,Colombia,28.01,712,436,UEFA,synthetic://sample-data
2005-12-28,Colombia,30.03,706,353,UEFA,synthetic://sample-data
2006-06-28,Colombia,27.83,726,351,UEFA,synthetic://sample-data
2006-12-27,Colombia,25.01,643,1021,UEFA,synthetic://sample-data
2007-06-27,Colombia,23.87,691,368,UEFA,synthetic://sample-data
2007-12-26,Colombia,23.71,677,1365,UEFA,synthetic://sample-data
2008-06-25,Colombia,28.85,713,437,UEFA,synthetic://sample-data
2008-12-24,Colombia,27.39,674,545,UEFA,synthetic://sample-data
2009-06-24,Colombia,27.8,677,1017,UEFA,synthetic://sample-data
2009-12-23,Colombia,25.1,662,677,UEFA,synthetic://sample-data
2010-06-23,Colombia,26.17,690,622,UEFA,synthetic://sample-data
2010-12-22,Colombia,26.84,737,572,UEFA,synthetic://sample-data
2011-06-22,Colombia,28.12,796,407,UEFA,synthetic://sample-data
2011-12-21,Colombia,25.18,720,667,UEFA,synthetic://sample-data
2012-06-20,Colombia,23.27,645,1207,UEFA,synthetic://sample-data
2012-12-19,Colombia,26.06,722,571,UEFA,synthetic://sample-data
2013-06-19,Colombia,26.29,738,671,UEFA,synthetic://sample-data
2013-12-18,Colombia,27.05,712,445,UEFA,synthetic://sample-data
2014-06-18,Colombia,27.24,731,255,UEFA,synthetic://sample-data
2014-12-17,Colombia,23.03,723,1075,UEFA,synthetic://sample-data
2015-06-17,Colombia,30.23,664,691,UEFA,synthetic://sample-data
2015-12-16,Colombia,22.43,715,642,UEFA,synthetic://sample-data
2016-06-15,Colombia,26.48,749,360,UEFA,synthetic://sample-data
2016-12-14,Colombia,28.59,705,1270,UEFA,synthetic://sample-data
2017-06-14,Colombia,26.57,666,404,UEFA,synthetic://sample-data
2017-12-13,Colombia,27.84,756,719,UEFA,synthetic://sample-data
2018-06-13,Colombia,22.51,741,227,UEFA,synthetic://sample-data
2018-12-12,Colombia,29.67,719,366,UEFA,synthetic://sample-data
2019-06-12,Colombia,26.57,742,687,UEFA,synthetic://sample-data
2019-12-11,Colombia,26.97,727,195,UEFA,synthetic://sample-data
2020-06-10,Colombia,28.41,677,107,UEFA,synthetic://sample-data
2020-12-09,Colombia,25.71,690,1138,UEFA,synthetic://sample-data
2021-06-09,Colombia,25.92,651,1701,UEFA,synthetic://sample-data
2021-12-08,Colombia,23.04,726,669,UEFA,synthetic://sample-data
2022-06-08,Colombia,27.04,728,443,UEFA,synthetic://sample-data
2022-12-07,Colombia,27.68,725,431,UEFA,synthetic://sample-data
2023-06-07,Colombia,25.17,687,563,UEFA,synthetic://sample-data
2023-12-06,Colombia,25.69,696,507,UEFA,synthetic://sample-data
2024-06-05,Colombia,23.87,671,395,UEFA,synthetic://sample-data
2024-12-04,Colombia,26.86,709,563,UEFA,synthetic://sample-data
2025-06-04,Colombia,26.95,730,966,UEFA,synthetic://sample-data
2025-12-03,Colombia,26.11,642,504,UEFA,synthetic://sample-data
2003-01-01,Costa Rica,24.7,348,837,AFC,synthetic://sample-data
2003-07-02,Costa Rica,22.73,287,1173,AFC,synthetic://sample-data
2003-12-31,Costa Rica,27.13,301,862,AFC,synthetic://sample-data
2004-06-30,Costa Rica,27.56,330,876,AFC,synthetic://sample-data
2004-12-29,Costa Rica,31.03,286,677,AFC,synthetic://sample-data
2005-06-29,Costa Rica,26.61,399,269,AFC,synthetic://sample-data
2005-12-28,Costa Rica,28.44,296,1399,AFC,synthetic://sample-data
2006-06-28,Costa Rica,25.89,338,513,AFC,synthetic://sample-data
2006-12-27,Costa Rica,29.19,231,1063,AFC,synthetic://sample-data
2007-06-27,Costa Rica,22.73,345,739,AFC,synthetic://sample-data
2007-12-26,Costa Rica,24.44,296,489,AFC,synthetic://sample-data
2008-06-25,Costa Rica,26.91,307,815,AFC,synthetic://sample-data
2008-12-24,Costa Rica,21.36,294,502,AFC,synthetic://sample-data
2009-06-24,Costa Rica,25.06,287,300,AFC,synthetic://sample-data
2009-12-23,Costa Rica,26.19,376,555,AFC,synthetic://sample-data
2010-06-23,Costa Rica,25.79,305,716,AFC,synthetic://sample-data
2010-12-22,Costa Rica,25.09,329,352,AFC,synthetic://sample-data
2011-06-22,Costa Rica,24.97,275,739,AFC,synthetic://sample-data
2011-12-21,Costa Rica,24.3,317,432,AFC,synthetic://sample-data
2012-06-20,Costa Rica,26.18,307,825,AFC,synthetic://sample-data
2012-12-19,Costa Rica,24.92,348,566,AFC,synthetic://sample-data
2013-06-19,Costa Rica,25.83,329,390,AFC,synthetic://sample-data
2013-12-18,Costa Rica,26.29,310,598,AFC,synthetic://sample-data
2014-06-18,Costa Rica,26.94,369,346,AFC,synthetic://sample-data
2014-12-17,Costa Rica,23.38,304,579,AFC,synthetic://sample-data
2015-06-17,Costa Rica,23.74,291,590,AFC,synthetic://sample-data
2015-12-16,Costa Rica,26.27,320,364,AFC,synthetic://sample-data
2016-06-15,Costa Rica,21.61,290,345,AFC,synthetic://sample-data
2016-12-14,Costa Rica,25.18,388,997,AFC,synthetic://sample-data
2017-06-14,Costa Rica,22.53,376,398,AFC,synthetic://sample-data
2017-12-13,Costa Rica,25.7,309,1234,AFC,synthetic://sample-data
2018-06-13,Costa Rica,26.8,336,1300,AFC,synthetic://sample-data
2018-12-12,Costa Rica,25.72,301,211,AFC,synthetic://sample-data
2019-06-12,Costa Rica,21.0,352,350,AFC,synthetic://sample-data
2019-12-11,Costa Rica,27.26,303,676,AFC,synthetic://sample-data
2020-06-10,Costa Rica,25.42,316,1363,AFC,synthetic://sample-data
2020-12-09,Costa Rica,24.4,327,819,AFC,synthetic://sample-data
2021-06-09,Costa Rica,25.9,311,866,AFC,synthetic://sample-data
2021-12-08,Costa Rica,25.72,362,1023,AFC,synthetic://sample-data
2022-06-08,Costa Rica,26.75,277,779,AFC,synthetic://sample-data
2022-12-07,Costa Rica,26.01,327,506,AFC,synthetic://sample-data
2023-06-07,Costa Rica,27.58,339,1087,AFC,synthetic://sample-data
2023-12-06,Costa Rica,26.25,338,569,AFC,synthetic://sample-data
2024-06-05,Costa Rica,28.16,311,557,AFC,synthetic://sample-data
2024-12-04,Costa Rica,25.73,304,149,AFC,synthetic://sample-data
2025-06-04,Costa Rica,26.24,293,1071,AFC,synthetic://sample-data
2025-12-03,Costa Rica,23.67,293,499,AFC,synthetic://sample-data
2003-01-01,Croatia,25.99,751,304,CAF,synthetic://sample-data
2003-07-02,Croatia,25.67,842,1012,CAF,synthetic://sample-data
2003-12-31,Croatia,24.89,833,439,CAF,synthetic://sample-data
2004-06-30,Croatia,23.47,853,1033,CAF,synthetic://sample-data
2004-12-29,Croatia,27.66,757,616,CAF,synthetic://sample-data
2005-06-29,Croatia,24.34,759,279,CAF,synthetic://sample-data
2005-12-28,Croatia,27.44,819,1376,CAF,synthetic://sample-data
2006-06-28,Croatia,27.13,737,288,CAF,synthetic://sample-data
2006-12-27,Croatia,26.33,784,393,CAF,synthetic://sample-data
2007-06-27,Croatia,23.27,781,718,CAF,synthetic://sample-data
2007-12-26,Croatia,28.27,766,234,CAF,synthetic://sample-data
2008-06-25,Croatia,26.56,737,179,CAF,synthetic://sample-data
2008-12-24,Croatia,25.63,799,507,CAF,synthetic://sample-data
2009-06-24,Croatia,27.56,778,450,CAF,synthetic://sample-data
2009-12-23,Croatia,26.46,825,823,CAF,synthetic://sample-data
2010-06-23,Croatia,27.91,779,1450,CAF,synthetic://sample-data
2010-12-22,Croatia,28.48,832,658,CAF,synthetic://sample-data
2011-06-22,Croatia,24.55,764,1067,CAF,synthetic://sample-data
2011-12-21,Croatia,28.83,728,557,CAF,synthetic://sample-data
2012-06-20,Croatia,29.04,773,427,CAF,synthetic://sample-data
2012-12-19,Croatia,27.15,783,556,CAF,synthetic://sample-data
2013-06-19,Croatia,25.32,779,365,CAF,synthetic://sample-data
2013-12-18,Croatia,30.28,787,414,CAF,synthetic://sample-data
2014-06-18,Croatia,27.36,758,810,CAF,synthetic://sample-data
2014-12-17,Croatia,25.19,784,955,CAF,synthetic://sample-data
2015-06-17,Croatia,26.63,796,146,CAF,synthetic://sample-data
2015-12-16,Croatia,25.82,772,297,CAF,synthetic://sample-data
2016-06-15,Croatia,26.38,828,555,CAF,synthetic://sample-data
2016-12-14,Croatia,26.63,678,632,CAF,synthetic://sample-data
2017-06-14,Croatia,27.19,830,488,CAF,synthetic://sample-data
2017-12-13,Croatia,27.25,792,832,CAF,synthetic://sample-data
2018-06-13,Croatia,25.97,767,701,CAF,synthetic://sample-data
2018-12-12,Croatia,28.51,797,1147,CAF,synthetic://sample-data
2019-06-12,Croatia,26.38,711,270,CAF,synthetic://sample-data
2019-12-11,Croatia,27.63,766,173,CAF,synthetic://sample-data
2020-06-10,Croatia,25.71,724,789,CAF,synthetic://sample-data
2020-12-09,Croatia,22.08,794,426,CAF,synthetic://sample-data
2021-06-09,Croatia,27.17,756,267,CAF,synthetic://sample-data
2021-12-08,Croatia,27.79,831,267,CAF,synthetic://sample-data
2022-06-08,Croatia,24.83,793,434,CAF,synthetic://sample-data
2022-12-07,Croatia,28.61,798,338,CAF,synthetic://sample-data
2023-06-07,Croatia,29.52,795,1420,CAF,synthetic://sample-data
2023-12-06,Croatia,24.88,733,236,CAF,synthetic://sample-data
2024-06-05,Croatia,25.12,858,444,CAF,synthetic://sample-data
2024-12-04,Croatia,28.82,783,783,CAF,synthetic://sample-data
2025-06-04,Croatia,23.36,751,491,CAF,synthetic://sample-data
2025-12-03,Croatia,26.2,810,254,CAF,synthetic://sample-data
2003-01-01,Denmark,23.75,673,793,CONCACAF,synthetic://sample-data
2003-07-02,Denmark,26.42,717,208,CONCACAF,synthetic://sample-data
2003-12-31,Denmark,26.68,624,2298,CONCACAF,synthetic://sample-data
2004-06-30,Denmark,27.8,667,595,CONCACAF,synthetic://sample-data
2004-12-29,Denmark,29.09,677,893,CONCACAF,synthetic://sample-data
2005-06-29,Denmark,26.95,705,343,CONCACAF,synthetic://sample-data
2005-12-28,Denmark,25.38,649,141,CONCACAF,synthetic://sample-data
2006-06-28,Denmark,23.4,649,901,CONCACAF,synthetic://sample-data
2006-12-27,Denmark,28.15,682,499,CONCACAF,synthetic://sample-data
2007-06-27,Denmark,26.72,670,556,CONCACAF,synthetic://sample-data
2007-12-26,Denmark,28.65,649,511,CONCACAF,synthetic://sample-data
2008-06-25,Denmark,22.69,713,466,CONCACAF,synthetic://sample-data
2008-12-24,Denmark,26.43,676,651,CONCACAF,synthetic://sample-data
2009-06-24,Denmark,23.63,677,899,CONCACAF,synthetic://sample-data
2009-12-23,Denmark,26.01,665,672,CONCACAF,synthetic://sample-data
2010-06-23,Denmark,27.15,721,1544,CONCACAF,synthetic://sample-data
2010-12-22,Denmark,28.22,665,526,CONCACAF,synthetic://sample-data
2011-06-22,Denmark,26.96,622,230,CONCACAF,synthetic://sample-data
2011-12-21,Denmark,23.83,612,605,CONCACAF,synthetic://sample-data
2012-06-20,Denmark,24.19,693,1311,CONCACAF,synthetic://sample-data
2012-12-19,Denmark,27.85,646,1065,CONCACAF,synthetic://sample-data
2013-06-19,Denmark,24.04,747,304,CONCACAF,synthetic://sample-data
2013-12-18,Denmark,24.66,687,366,CONCACAF,synthetic://sample-data
2014-06-18,Denmark,27.72,697,426,CONCACAF,synthetic://sample-data
2014-12-17,Denmark,23.0,653,267,CONCACAF,synthetic://sample-data
2015-06-17,Denmark,26.0,703,398,CONCACAF,synthetic://sample-data
2015-12-16,Denmark,25.18,738,210,CONCACAF,synthetic://sample-data
2016-06-15,Denmark,27.1,715,751,CONCACAF,synthetic://sample-data
2016-12-14,Denmark,29.16,680,643,CONCACAF,synthetic://sample-data
2017-06-14,Denmark,27.83,681,163,CONCACAF,synthetic://sample-data
2017-12-13,Denmark,21.83,686,702,CONCACAF,synthetic://sample-data
2018-06-13,Denmark,24.78,584,641,CONCACAF,synthetic://sample-data
2018-12-12,Denmark,25.33,697,235,CONCACAF,synthetic://sample-data
2019-06-12,Denmark,25.54,690,1303,CONCACAF,synthetic://sample-data
2019-12-11,Denmark,26.66,679,642,CONCACAF,synthetic://sample-data
2020-06-10,Denmark,28.81,656,805,CONCACAF,synthetic://sample-data
2020-12-09,Denmark,24.42,702,731,CONCACAF,synthetic://sample-data
2021-06-09,Denmark,26.46,664,448,CONCACAF,synthetic://sample-data
2021-12-08,Denmark,27.4,664,668,CONCACAF,synthetic://sample-data
2022-06-08,Denmark,30.04,694,1063,CONCACAF,synthetic://sample-data
2022-12-07,Denmark,25.22,709,339,CONCACAF,synthetic://sample-data
2023-06-07,Denmark,27.87,669,668,CONCACAF,synthetic://sample-data
2023-12-06,Denmark,25.44,657,354,CONCACAF,synthetic://sample-data
2024-06-05,Denmark,24.98,648,399,CONCACAF,synthetic://sample-data
2024-12-04,Denmark,28.82,649,519,CONCACAF,synthetic://sample-data
2025-06-04,Denmark,23.3,674,675,CONCACAF,synthetic://sample-data
2025-12-03,Denmark,25.87,669,589,CONCACAF,synthetic://sample-data
2003-01-01,Ecuador,24.29,572,480,CONMEBOL,synthetic://sample-data
2003-07-02,Ecuador,27.36,481,281,CONMEBOL,synthetic://sample-data
2003-12-31,Ecuador,28.63,528,1165,CONMEBOL,synthetic://sample-data
2004-06-30,Ecuador,25.93,503,596,CONMEBOL,synthetic://sample-data
2004-12-29,Ecuador,27.12,506,442,CONMEBOL,synthetic://sample-data
2005-06-29,Ecuador,25.26,517,206,CONMEBOL,synthetic://sample-data
2005-12-28,Ecuador,27.1,545,674,CONMEBOL,synthetic://sample-data
2006-06-28,Ecuador,23.68,517,405,CONMEBOL,synthetic://sample-data
2006-12-27,Ecuador,30.15,547,164,CONMEBOL,synthetic://sample-data
2007-06-27,Ecuador,28.24,593,904,CONMEBOL,synthetic://sample-data
2007-12-26,Ecuador,24.77,491,584,CONMEBOL,synthetic://sample-data
2008-06-25,Ecuador,28.94,591,1063,CONMEBOL,synthetic://sample-data
2008-12-24,Ecuador,25.14,502,698,CONMEBOL,synthetic://sample-data
2009-06-24,Ecuador,23.28,492,473,CONMEBOL,synthetic://sample-data
2009-12-23,Ecuador,27.58,518,238,CONMEBOL,synthetic://sample-data
2010-06-23,Ecuador,28.28,520,815,CONMEBOL,synthetic://sample-data
2010-12-22,Ecuador,25.4,548,527,CONMEBOL,synthetic://sample-data
2011-06-22,Ecuador,22.51,538,546,CONMEBOL,synthetic://sample-data
2011-12-21,Ecuador,26.75,486,350,CONMEBOL,synthetic://sample-data
2012-06-20,Ecuador,23.33,537,195,CONMEBOL,synthetic://sample-data
2012-12-19,Ecuador,26.23,494,1582,CONMEBOL,synthetic://sample-data
2013-06-19,Ecuador,27.27,532,1019,CONMEBOL,synthetic://sample-data
2013-12-18,Ecuador,26.77,544,1321,CONMEBOL,synthetic://sample-data
2014-06-18,Ecuador,23.56,487,1150,CONMEBOL,synthetic://sample-data
2014-12-17,Ecuador,28.33,587,1050,CONMEBOL,synthetic://sample-data
2015-06-17,Ecuador,27.73,518,262,CONMEBOL,synthetic://sample-data
2015-12-16,Ecuador,25.84,501,418,CONMEBOL,synthetic://sample-data
2016-06-15,Ecuador,26.11,523,828,CONMEBOL,synthetic://sample-data
2016-12-14,Ecuador,30.13,573,516,CONMEBOL,synthetic://sample-data
2017-06-14,Ecuador,25.12,542,2396,CONMEBOL,synthetic://sample-data
2017-12-13,Ecuador,25.01,535,877,CONMEBOL,synthetic://sample-data
2018-06-13,Ecuador,24.63,501,751,CONMEBOL,synthetic://sample-data
2018-12-12,Ecuador,32.13,438,478,CONMEBOL,synthetic://sample-data
2019-06-12,Ecuador,24.44,548,533,CONMEBOL,synthetic://sample-data
2019-12-11,Ecuador,28.35,541,606,CONMEBOL,synthetic://sample-data
2020-06-10,Ecuador,28.2,490,1186,CONMEBOL,synthetic://sample-data
2020-12-09,Ecuador,30.4,536,665,CONMEBOL,synthetic://sample-data
2021-06-09,Ecuador,26.12,558,424,CONMEBOL,synthetic://sample-data
2021-12-08,Ecuador,23.94,547,300,CONMEBOL,synthetic://sample-data
2022-06-08,Ecuador,28.76,451,109,CONMEBOL,synthetic://sample-data
2022-12-07,Ecuador,26.17,564,743,CONMEBOL,synthetic://sample-data
2023-06-07,Ecuador,27.64,473,244,CONMEBOL,synthetic://sample-data
2023-12-06,Ecuador,30.32,510,550,CONMEBOL,synthetic://sample-data
2024-06-05,Ecuador,24.09,461,825,CONMEBOL,synthetic://sample-data
2024-12-04,Ecuador,25.05,526,790,CONMEBOL,synthetic://sample-data
2025-06-04,Ecuador,24.52,468,392,CONMEBOL,synthetic://sample-data
2025-12-03,Ecuador,24.31,512,811,CONMEBOL,synthetic://sample-data
2003-01-01,Egypt,26.87,506,901,UEFA,synthetic://sample-data
2003-07-02,Egypt,26.25,547,569,UEFA,synthetic://sample-data
2003-12-31,Egypt,24.61,515,1092,UEFA,synthetic://sample-data
2004-06-30,Egypt,26.67,464,406,UEFA,synthetic://sample-data
2004-12-29,Egypt,28.91,464,1532,UEFA,synthetic://sample-data
2005-06-29,Egypt,26.21,456,1450,UEFA,synthetic://sample-data
2005-12-28,Egypt,27.02,534,559,UEFA,synthetic://sample-data
2006-06-28,Egypt,28.15,427,268,UEFA,synthetic://sample-data
2006-12-27,Egypt,27.42,470,1370,UEFA,synthetic://sample-data
2007-06-27,Egypt,28.44,518,451,UEFA,synthetic://sample-data
2007-12-26,Egypt,24.98,452,1334,UEFA,synthetic://sample-data
2008-06-25,Egypt,24.48,502,340,UEFA,synthetic://sample-data
2008-12-24,Egypt,26.25,463,1125,UEFA,synthetic://sample-data
2009-06-24,Egypt,26.63,476,998,UEFA,synthetic://sample-data
2009-12-23,Egypt,22.88,474,301,UEFA,synthetic://sample-data
2010-06-23,Egypt,22.84,555,501,UEFA,synthetic://sample-data
2010-12-22,Egypt,24.96,521,493,UEFA,synthetic://sample-data
2011-06-22,Egypt,22.68,530,253,UEFA,synthetic://sample-data
2011-12-21,Egypt,29.41,470,315,UEFA,synthetic://sample-data
2012-06-20,Egypt,24.74,498,39,UEFA,synthetic://sample-data
2012-12-19,Egypt,26.82,529,392,UEFA,synthetic://sample-data
2013-06-19,Egypt,28.37,493,1132,UEFA,synthetic://sample-data
2013-12-18,Egypt,26.59,550,182,UEFA,synthetic://sample-data
2014-06-18,Egypt,26.67,457,190,UEFA,synthetic://sample-data
2014-12-17,Egypt,28.16,443,367,UEFA,synthetic://sample-data
2015-06-17,Egypt,26.41,524,630,UEFA,synthetic://sample-data
2015-12-16,Egypt,22.71,476,173,UEFA,synthetic://sample-data
2016-06-15,Egypt,25.56,507,314,UEFA,synthetic://sample-data
2016-12-14,Egypt,24.64,474,334,UEFA,synthetic://sample-data
2017-06-14,Egypt,24.64,535,220,UEFA,synthetic://sample-data
2017-12-13,Egypt,23.07,512,689,UEFA,synthetic://sample-data
2018-06-13,Egypt,29.27,532,781,UEFA,synthetic://sample-data
2018-12-12,Egypt,25.77,516,171,UEFA,synthetic://sample-data
2019-06-12,Egypt,23.0,465,1081,UEFA,synthetic://sample-data
2019-12-11,Egypt,25.59,468,749,UEFA,synthetic://sample-data
2020-06-10,Egypt,26.31,538,473,UEFA,synthetic://sample-data
2020-12-09,Egypt,26.64,494,533,UEFA,synthetic://sample-data
2021-06-09,Egypt,25.29,444,937,UEFA,synthetic://sample-data
2021-12-08,Egypt,24.09,543,194,UEFA,synthetic://sample-data
2022-06-08,Egypt,29.84,434,162,UEFA,synthetic://sample-data
2022-12-07,Egypt,25.19,425,1570,UEFA,synthetic://sample-data
2023-06-07,Egypt,26.34,427,319,UEFA,synthetic://sample-data
2023-12-06,Egypt,27.3,502,272,UEFA,synthetic://sample-data
2024-06-05,Egypt,28.16,472,316,UEFA,synthetic://sample-data
2024-12-04,Egypt,23.09,458,1437,UEFA,synthetic://sample-data
2025-06-04,Egypt,26.96,513,256,UEFA,synthetic://sample-data
2025-12-03,Egypt,29.49,563,625,UEFA,synthetic://sample-data
2003-01-01,England,24.99,1112,1144,AFC,synthetic://sample-data
2003-07-02,England,25.44,1058,1815,AFC,synthetic://sample-data
2003-12-31,England,28.27,1066,222,AFC,synthetic://sample-data
2004-06-30,England,27.58,1025,256,AFC,synthetic://sample-data
2004-12-29,England,27.3,1070,478,AFC,synthetic://sample-data
2005-06-29,England,23.87,1076,565,AFC,synthetic://sample-data
2005-12-28,England,25.1,1074,197,AFC,synthetic://sample-data
2006-06-28,England,28.46,1053,317,AFC,synthetic://sample-data
2006-12-27,England,26.34,1033,618,AFC,synthetic://sample-data
2007-06-27,England,26.71,1110,538,AFC,synthetic://sample-data
2007-12-26,England,29.53,1107,533,AFC,synthetic://sample-data
2008-06-25,England,22.68,1040,463,AFC,synthetic://sample-data
2008-12-24,England,26.04,1088,414,AFC,synthetic://sample-data
2009-06-24,England,25.58,1086,283,AFC,synthetic://sample-data
2009-12-23,England,27.94,1075,671,AFC,synthetic://sample-data
2010-06-23,England,27.06,1032,1169,AFC,synthetic://sample-data
2010-12-22,England,24.05,1036,719,AFC,synthetic://sample-data
2011-06-22,England,27.3,1090,707,AFC,synthetic://sample-data
2011-12-21,England,24.77,1059,982,AFC,synthetic://sample-data
2012-06-20,England,25.92,1096,379,AFC,synthetic://sample-data
2012-12-19,England,25.94,1088,919,AFC,synthetic://sample-data
2013-06-19,England,27.28,1039,241,AFC,synthetic://sample-data
2013-12-18,England,26.93,1101,912,AFC,synthetic://sample-data
2014-06-18,England,28.49,1080,514,AFC,synthetic://sample-data
2014-12-17,England,29.84,1114,263,AFC,synthetic://sample-data
2015-06-17,England,24.29,1072,775,AFC,synthetic://sample-data
2015-12-16,England,27.49,1121,637,AFC,synthetic://sample-data
2016-06-15,England,26.6,1064,243,AFC,synthetic://sample-data
2016-12-14,England,25.8,1009,394,AFC,synthetic://sample-data
2017-06-14,England,27.08,1081,939,AFC,synthetic://sample-data
2017-12-13,England,25.6,1025,1035,AFC,synthetic://sample-data
2018-06-13,England,26.99,1104,358,AFC,synthetic://sample-data
2018-12-12,England,26.26,1066,750,AFC,synthetic://sample-data
2019-06-12,England,23.97,1051,2030,AFC,synthetic://sample-data
2019-12-11,England,28.55,1084,224,AFC,synthetic://sample-data
2020-06-10,England,27.09,1046,902,AFC,synthetic://sample-data
2020-12-09,England,24.71,1063,378,AFC,synthetic://sample-data
2021-06-09,England,30.1,1098,767,AFC,synthetic://sample-data
2021-12-08,England,24.36,1035,1432,AFC,synthetic://sample-data
2022-06-08,England,26.05,1115,332,AFC,synthetic://sample-data
2022-12-07,England,26.37,1055,665,AFC,synthetic://sample-data
2023-06-07,England,24.53,1143,266,AFC,synthetic://sample-data
2023-12-06,England,26.33,1126,471,AFC,synthetic://sample-data
2024-06-05,England,27.34,1078,440,AFC,synthetic://sample-data
2024-12-04,England,26.39,1089,1130,AFC,synthetic://sample-data
2025-06-04,England,26.3,1127,981,AFC,synthetic://sample-data
2025-12-03,England,27.43,1121,200,AFC,synthetic://sample-data
2003-01-01,France,24.0,1169,1287,CAF,synthetic://sample-data
2003-07-02,France,25.68,1176,375,CAF,synthetic://sample-data
2003-12-31,France,23.61,1127,1123,CAF,synthetic://sample-data
2004-06-30,France,31.03,1154,743,CAF,synthetic://sample-data
2004-12-29,France,28.48,1151,95,CAF,synthetic://sample-data
2005-06-29,France,23.23,1198,944,CAF,synthetic://sample-data
2005-12-28,France,26.76,1191,329,CAF,synthetic://sample-data
2006-06-28,France,28.68,1191,139,CAF,synthetic://sample-data
2006-12-27,France,24.89,1146,1607,CAF,synthetic://sample-data
2007-06-27,France,26.05,1156,262,CAF,synthetic://sample-data
2007-12-26,France,24.99,1120,228,CAF,synthetic://sample-data
2008-06-25,France,24.87,1183,797,CAF,synthetic://sample-data
2008-12-24,France,26.15,1180,921,CAF,synthetic://sample-data
2009-06-24,France,23.42,1169,375,CAF,synthetic://sample-data
2009-12-23,France,28.57,1173,803,CAF,synthetic://sample-data
2010-06-23,France,27.24,1119,815,CAF,synthetic://sample-data
2010-12-22,France,28.61,1177,537,CAF,synthetic://sample-data
2011-06-22,France,28.81,1190,407,CAF,synthetic://sample-data
2011-12-21,France,28.65,1179,547,CAF,synthetic://sample-data
2012-06-20,France,24.84,1227,1645,CAF,synthetic://sample-data
2012-12-19,France,24.69,1160,458,CAF,synthetic://sample-data
2013-06-19,France,25.58,1099,742,CAF,synthetic://sample-data
2013-12-18,France,25.18,1211,1048,CAF,synthetic://sample-data
2014-06-18,France,25.83,1215,866,CAF,synthetic://sample-data
2014-12-17,France,22.86,1196,56,CAF,synthetic://sample-data
2015-06-17,France,28.72,1119,940,CAF,synthetic://sample-data
2015-12-16,France,26.2,1193,206,CAF,synthetic://sample-data
2016-06-15,France,26.4,1179,175,CAF,synthetic://sample-data
2016-12-14,France,28.11,1191,398,CAF,synthetic://sample-data
2017-06-14,France,25.31,1141,198,CAF,synthetic://sample-data
2017-12-13,France,26.47,1157,1112,CAF,synthetic://sample-data
